episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
159,1917,0,0,heading_error,82.62,0.336303,0.426319,2.498047,0.124619,0.125215,1.570000,0.045118,0.038250,0.153203,3.81,0.085332,23911.30
160,1,0,0,heading_error,8.87,0.729145,0.000000,0.729145,0.001993,0.000000,0.001993,0.000352,0.000000,0.000352,0.06,0.000000,-592.39
161,1910,0,0,heading_error,82.52,0.284237,0.316452,2.113627,0.110833,0.112294,0.519274,0.042119,0.039371,0.147886,3.82,0.080838,26853.08
162,1902,0,0,heading_error,82.67,0.238237,0.305291,3.057851,0.106128,0.112434,0.562460,0.040464,0.038735,0.154547,3.82,0.074975,29699.98
163,1910,0,0,heading_error,82.58,0.325818,0.484680,3.158291,0.121827,0.123940,0.529558,0.043100,0.038935,0.151619,3.82,0.091396,26017.54
164,1903,0,0,heading_error,82.64,0.264327,0.299963,2.140850,0.110200,0.118004,1.570000,0.042345,0.037307,0.151280,3.82,0.089741,27795.36
165,1,0,0,heading_error,18.01,2.240324,0.000000,2.240324,0.001993,0.000000,0.001993,0.000284,0.000000,0.000284,0.06,0.000000,-591.93
166,1909,0,0,heading_error,82.76,0.310025,0.389966,2.325359,0.115841,0.122471,1.570000,0.044339,0.036303,0.149549,3.82,0.093326,26060.67
167,1,0,0,heading_error,11.92,1.476476,0.000000,1.476476,0.001993,0.000000,0.001993,0.000330,0.000000,0.000330,0.06,0.000000,-592.26
168,1904,0,0,heading_error,82.75,0.303213,0.330037,2.313627,0.106965,0.099099,0.519145,0.043305,0.031806,0.143331,3.83,0.080135,26191.43
169,1906,0,0,heading_error,82.85,0.271610,0.274101,2.306519,0.103700,0.105252,0.532775,0.041525,0.033895,0.145675,3.83,0.081892,27027.84
170,1910,0,0,heading_error,82.91,0.326850,0.308609,2.111653,0.107241,0.104958,0.521395,0.043374,0.033032,0.143061,3.82,0.085668,24234.45
171,1907,0,0,heading_error,82.89,0.292571,0.279643,2.165935,0.105687,0.104652,0.525302,0.042538,0.034033,0.143320,3.82,0.086553,25784.29
172,1903,0,0,heading_error,82.79,0.246471,0.278431,2.379374,0.103067,0.105079,0.515014,0.040970,0.034915,0.142937,3.83,0.082527,28895.39
173,1903,0,0,heading_error,82.63,0.247087,0.288736,2.342134,0.105075,0.104376,0.522401,0.041655,0.035369,0.143790,3.82,0.080939,28687.90
174,1902,0,0,heading_error,82.78,0.219940,0.267565,2.378070,0.101908,0.110857,0.544260,0.041204,0.036007,0.145327,3.82,0.085196,30518.96
