#{"t_start": 1772158297.3285942, "env_id": "None"}
r,l,t
29541.555409,1899,7966.455126
28656.471829,1900,7987.664613
28314.099209,1906,8008.978096
28325.869959,1904,8030.510048
28407.395128,1902,8052.064629
27110.809249,1914,8073.665336
28147.680164,1904,8095.179506
-592.265808,1,8095.20607
27968.318714,1901,8116.821752
27064.556399,1913,8138.465489
27234.963661,1908,8160.155673
27908.001168,1900,8181.597189
29752.964661,1901,8203.300649
27712.499301,1903,8224.9475
28729.696514,1903,8246.64066
-592.25316,1,8246.67377
-592.497757,1,8246.695985
-592.544116,1,8246.722155
28457.610169,1903,8267.972013
29476.416423,1901,8288.842551
29163.506049,1902,8309.981651
28777.350342,1902,8331.290616
28002.943798,1904,8352.781906
27566.642086,1914,8374.419144
29778.583232,1900,8395.87595
27913.541743,1912,8417.448531
29874.819726,1900,8438.954358
30080.035074,1899,8460.515899
29417.997648,1901,8481.941032
29792.553921,1902,8503.445019
29188.46984,1906,8525.048491
