episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
151,122,0,0,tilt_error,4.05,1.838527,1.234193,4.496497,0.329821,0.258723,0.706902,0.094993,0.081771,0.359032,3.35,0.075199,-1850.47
152,63,0,0,heading_error,-8.14,3.729621,0.968534,4.497552,0.258162,0.317235,1.018600,0.085231,0.056176,0.160359,2.96,0.053855,-1524.51
153,139,0,0,tilt_error,2.65,0.669014,0.318135,1.078314,0.202850,0.165845,0.490484,0.086188,0.075082,0.351352,3.41,0.088611,-730.62
154,141,0,0,tilt_error,3.50,0.770292,0.323862,1.254288,0.245837,0.195663,0.627953,0.093086,0.077396,0.369018,3.41,0.090000,-1154.45
155,137,0,0,tilt_error,2.95,0.644229,0.282549,2.010750,0.209666,0.167235,0.526882,0.088917,0.077326,0.366109,3.40,0.089901,-523.68
156,153,0,0,tilt_error,3.42,1.030561,0.650730,2.069170,0.278803,0.219527,1.570000,0.091061,0.075887,0.375206,3.44,0.074622,-1305.00
157,1,0,0,heading_error,18.02,0.926683,0.000000,0.926683,0.001993,0.000000,0.001993,0.002210,0.000000,0.002210,0.07,0.000000,-588.32
158,166,0,0,tilt_error,3.70,0.487303,0.313024,1.289784,0.171755,0.119884,0.417667,0.080462,0.073583,0.373824,3.48,0.091320,524.42
159,101,0,0,tilt_error,4.34,0.988441,0.386536,1.360544,0.233170,0.209033,0.546732,0.099914,0.086838,0.357689,3.26,0.087620,-1473.92
160,183,0,0,tilt_error,13.33,1.016125,1.087000,3.574629,0.282926,0.265081,0.929163,0.090824,0.075308,0.365380,3.48,0.079455,-553.18
161,107,0,0,tilt_error,4.59,1.207174,0.558181,1.858371,0.274722,0.266152,1.570000,0.099672,0.083895,0.350199,3.28,0.074426,-1659.73
162,1,0,0,heading_error,8.39,0.778663,0.000000,0.778663,1.570000,0.000000,1.570000,0.001519,0.000000,0.001519,0.06,0.000000,-589.73
163,1,0,0,heading_error,13.63,2.930592,0.000000,2.930592,0.001993,0.000000,0.001993,0.000784,0.000000,0.000784,0.06,0.000000,-592.23
164,64,0,0,heading_error,-2.05,2.248682,0.910087,2.997853,0.263689,0.313404,1.011144,0.125806,0.085157,0.286399,2.87,0.072730,-1297.04
165,101,0,0,tilt_error,5.13,1.213721,0.479033,1.826962,0.270067,0.244751,0.633771,0.101984,0.086282,0.357608,3.26,0.093213,-1727.90
166,90,0,0,tilt_error,7.34,1.109763,0.612072,1.895455,0.267494,0.249304,1.570000,0.099496,0.086841,0.370382,3.20,0.083460,-1105.06
167,1,0,0,heading_error,8.19,0.702479,0.000000,0.702479,0.001993,0.000000,0.001993,0.004137,0.000000,0.004137,0.10,0.000000,-590.23
168,153,0,0,heading_error,7.91,0.598847,0.522297,3.637221,0.228053,0.221264,1.020327,0.090816,0.073393,0.304331,3.40,0.072852,78.55
169,48,0,0,tilt_error,-10.41,3.357980,0.551524,3.716569,0.157688,0.251919,1.570000,0.125393,0.105283,0.360503,2.64,0.059790,-976.26
170,1,0,0,heading_error,18.02,0.709074,0.000000,0.709074,0.001993,0.000000,0.001993,0.002256,0.000000,0.002256,0.08,0.000000,-591.40
171,181,0,0,tilt_error,11.81,0.937652,0.968113,3.198468,0.273815,0.262494,1.570000,0.089832,0.074028,0.353736,3.49,0.080892,-469.98
172,1,0,0,heading_error,8.58,1.773935,0.000000,1.773935,0.001993,0.000000,0.001993,0.000652,0.000000,0.000652,0.06,0.000000,-587.49
173,70,0,0,heading_error,3.32,1.328056,0.572869,1.824924,0.290998,0.366688,1.570000,0.079234,0.061998,0.163900,3.05,0.068315,-1293.66
174,1,0,0,heading_error,13.90,1.871994,0.000000,1.871994,0.001993,0.000000,0.001993,0.000308,0.000000,0.000308,0.06,0.000000,-591.06
