episode,new_episode,steps,completed,completion_index,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
256,150,713,0,0,0,tilt_error,47.84,0.345561,0.435578,2.255748,0.100099,0.119052,0.752276,0.037896,0.047295,0.352526,3.79,0.055143,9661.9
257,151,745,0,0,0,tilt_error,52.18,0.466309,0.571909,4.496497,0.141803,0.17035,0.793172,0.044998,0.049442,0.365383,3.79,0.062597,7696.12
259,152,721,0,0,0,heading_error,48.9,0.275474,0.393008,2.134141,0.102925,0.155391,1.039327,0.031023,0.037862,0.171224,3.8,0.051706,11489.55
260,153,735,0,0,0,tilt_error,51.95,0.296107,0.392216,2.306084,0.112311,0.128216,0.568356,0.039074,0.045838,0.363057,3.8,0.061056,10493.46
261,154,738,0,0,0,tilt_error,52.11,0.363227,0.423739,2.182945,0.12093,0.146068,1.57,0.039966,0.046919,0.369309,3.8,0.062878,9007.09
263,155,710,0,0,0,tilt_error,47.28,0.358799,0.44087,2.099521,0.110788,0.131794,1.57,0.038498,0.047302,0.350099,3.79,0.058269,8459.23
265,156,706,0,0,0,tilt_error,46.69,0.374398,0.491376,2.204162,0.10692,0.127666,0.610168,0.037195,0.048977,0.368968,3.79,0.055919,8260.98
266,157,712,0,0,0,tilt_error,47.54,0.313347,0.444102,2.118837,0.113266,0.132569,0.595059,0.037987,0.050476,0.372952,3.78,0.058713,9360.96
267,158,750,0,0,0,tilt_error,52.17,0.466881,0.646405,3.7114,0.148554,0.196961,1.030809,0.042659,0.051534,0.359884,3.78,0.058479,7287.39
268,159,740,0,0,0,tilt_error,52.19,0.367896,0.456533,2.139677,0.118065,0.144546,0.669403,0.039169,0.048587,0.368208,3.79,0.059878,8451.43
271,160,710,0,0,0,tilt_error,47.35,0.304337,0.453804,4.496497,0.104385,0.12916,0.604501,0.036504,0.049587,0.358951,3.79,0.057799,10263.31
274,161,1210,0,0,0,tilt_error,82.87,0.311583,0.349234,2.07446,0.114218,0.107243,0.537633,0.042044,0.041047,0.357152,3.81,0.058902,14949.48
275,162,721,0,0,0,heading_error,47.94,0.389564,0.48763,2.157809,0.118907,0.159961,1.57,0.040167,0.050855,0.346548,3.78,0.059219,7984.16
278,163,699,0,0,0,tilt_error,45.59,0.390971,0.507649,2.149352,0.1063,0.124737,0.572702,0.036406,0.046707,0.367416,3.79,0.058608,7993.13
